name_eng,url
Doo Hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000doo
Ho Ryung Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---003ho-
Hyeon Su Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001hyu
Jeong Bin Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000jeu
Keon Kuk Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---016yon
Ki-hoon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001ki-
Kyu Sung Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---005kyu
Min Jae Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---033min
Min Ju Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---035min
Seung-hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---005seu
Sun Bin Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---002seo
Tae-gun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---003tae
Yi Hwan Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000yih
Jong Wook Ko,https://www.baseball-reference.com/register/player.fcgi?id=ko----000jon
Do Gyu Kwak,https://www.baseball-reference.com/register/player.fcgi?id=kwak--000dog
Eric Lauer,https://www.baseball-reference.com/register/player.fcgi?id=lauer-000eri
Chang Jin Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---012cha
Eui Lee Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---000eui
Hyeong Bum Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---001hyu
Jun Young Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---004joo
Woo Sung Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---002woo
Sung Bum Na,https://www.baseball-reference.com/register/player.fcgi?id=na----000sun
James Naile,https://www.baseball-reference.com/register/player.fcgi?id=naile-002jam
Sun Woo Oh,https://www.baseball-reference.com/register/player.fcgi?id=oh----002seo
Chan-Ho Park,https://www.baseball-reference.com/register/player.fcgi?id=park--004cha
Jun Pyo Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001joo
Jung Woo Park,https://www.baseball-reference.com/register/player.fcgi?id=park--007jun
Min Park,https://www.baseball-reference.com/register/player.fcgi?id=park--006min
Geon-chang Seo,https://www.baseball-reference.com/register/player.fcgi?id=seo---000geo
Eric Stout,https://www.baseball-reference.com/register/player.fcgi?id=stout-000eri
Hyeon-jong Yang,https://www.baseball-reference.com/register/player.fcgi?id=yang--000hye
Seung Cheol Yoo,https://www.baseball-reference.com/register/player.fcgi?id=yu----001seu
Do Hyun Yoon,https://www.baseball-reference.com/register/player.fcgi?id=yoon--000doh
Joong Hyun Yoon,https://www.baseball-reference.com/register/player.fcgi?id=yoon--001joo
Young Cheol Yoon,https://www.baseball-reference.com/register/player.fcgi?id=yoon--000you
Ji Sung You,https://www.baseball-reference.com/register/player.fcgi?id=you---000jis
Sang Kwon Byeon,https://www.baseball-reference.com/register/player.fcgi?id=byeon-000san
Sang Woo Cho,https://www.baseball-reference.com/register/player.fcgi?id=cho---002san
Young Gun Cho,https://www.baseball-reference.com/register/player.fcgi?id=jo----000you
Joo Hwan Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000ju-
Ronnie Dawson,https://www.baseball-reference.com/register/player.fcgi?id=dawson002ron
Enmanuel De Jesus,https://www.baseball-reference.com/register/player.fcgi?id=dejesu001enm
Yeong Min Ha,https://www.baseball-reference.com/register/player.fcgi?id=ha----000yeo
Jae Young Jang,https://www.baseball-reference.com/register/player.fcgi?id=jang--004jae
Chan Heon Jeong,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000cha
Jun Pyo Jhun,https://www.baseball-reference.com/register/player.fcgi?id=jhun--000jun
Seong Won Ju,https://www.baseball-reference.com/register/player.fcgi?id=jung--000son
Seung Woo Ju,https://www.baseball-reference.com/register/player.fcgi?id=ju----000seu
Ariel Jurado,https://www.baseball-reference.com/register/player.fcgi?id=jurado000ari
Byeong Hwi Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---007bye
Dong Heon Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---028don
Dong Hyeok Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---022don
Dong Kyu Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---029don
Dong Uk Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---023don
Gun Hee Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000gun
Hyeseong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---016hye
In-beom Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---007in-
Jae Hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---019jae
Jae Woong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---029jae
Joo-hyung Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---005joo
Seon Gi Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001seo
Seong Min Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---043seo
Si Ang Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001sia
