name_eng_x,url,name_new,name_kor,name_eng_y
Jae Min Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--000jae,jae min kang,강재민,Jae-Min Kang
Hyun Min Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---003hyu,hyun min kim,김현민,Hyun-Min Kim
Jae Yong Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---021jae,jae yong lee,이재용,Jae-Yong Lee
Min Jun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---009min,min jun lee,이민준,Min-Jun Lee
Brian O'Grady,https://www.baseball-reference.com/register/player.fcgi?id=ogrady000bri,brian o'grady,오그레디,Brian O'Grady
Jun Yeong Park,https://www.baseball-reference.com/register/player.fcgi?id=park--008jun,jun yeong park,박준영,Jun-Yeong Park
Jung Hyun Park,https://www.baseball-reference.com/register/player.fcgi?id=park--006jun,jung hyun park,박정현,Jung-Hyun Park
Jung Hyun Park,https://www.baseball-reference.com/register/player.fcgi?id=park--006jun,jung hyun park,박정현,Jung-hyun Park
Won Suk Ryu,https://www.baseball-reference.com/register/player.fcgi?id=yoo---000won,won suk ryu,류원석,Won-Suk Ryu
Burch Smith,https://www.baseball-reference.com/register/player.fcgi?id=smith-003bur,burch smith,스미스,Burch Taylor Smith
Nick Williams,https://www.baseball-reference.com/register/player.fcgi?id=willia005nic,nick williams,윌리엄스,Nick Williams
San Heum Yun,https://www.baseball-reference.com/register/player.fcgi?id=yun---002san,san heum yoon,윤산흠,San-Heum Yoon
Shaun Anderson,https://www.baseball-reference.com/register/player.fcgi?id=anders000sha,shaun anderson,앤더슨,Shaun Anderson
Hyo Sang Joo,https://www.baseball-reference.com/register/player.fcgi?id=choo--000hyo,hyo sang joo,주효상,Hyo-Sang Joo
Seok Hwan Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---045seo,seok hwan kim,김석환,Seok-Hwan Kim
