name_eng_x,url,name_new,name_kor,name_eng_y
,,dong gwon kang,강동권,Dong-Gwon Kang
Dong-gyeong Pak,https://www.baseball-reference.com/register/player.fcgi?id=pak---000don,dong gyeong park,,
Dong-gyun Yun,https://www.baseball-reference.com/register/player.fcgi?id=yun---001don,dong gyun yoon,,
Dong Hack Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---004don,dong hack lee,,
,,dong hak lee,이동학,Dong-Hak Lee
Dong-han Chin,https://www.baseball-reference.com/register/player.fcgi?id=chin--000don,dong han chin,,
,,dong han jin,진동한,Dong-Han Jin
,,dong hee choi,최동희,Dong-Hee Choi
,,dong hee han,한동희,Dong-Hee Han
,,dong hee park,박동희,Dong-Hee Park
,,dong hoon han,한동훈,Dong-Hoon Han
,,dong hoon kang,강동훈,Dong-hoon Kang
,,dong hoon kwak,곽동훈,Dong-Hoon Kwak
,,dong hoon lee,이동훈,Dong-Hoon Lee
Dong Hui Han,https://www.baseball-reference.com/register/player.fcgi?id=han---001don,dong hui han,,
,,dong hyeok kwon,권동혁,Dong-Hyeok Kwon
,,dong hyeok park,박동혁,Dong-Hyuk Park
,,dong hyeon cho,조동현,Dong-Hyeon Cho
,,dong hyeong kang,강동형,Dong-Hyeong Kang
Dong-hyi Pak,https://www.baseball-reference.com/register/player.fcgi?id=pak---001don,dong hyi park,,
,,dong hyun kwon,권동현,Dong-hyun Kwon
,,dong jun kim,김동준,Dong-Jun Kim
,,dong keon yeo,여동건,Dong-Keon Yeo
Dong-Kil Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---017don,dong kil kim,,
Dong Kul Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003don,dong kul lee,,
,,dong kun kim,김동건,Dong-Kun Kim
,,dong kwan lee,이동관,Dong-Kwan Lee
,,dong kyu lee,이동규,Dong-Kyu Lee
,,dong kyu shin,신동규,Dong-Kyu Shin
,,dong kyun yoon,윤동균,Dong-kyun Yoon
,,dong kyung park,박동경,Dong-Kyung Park
,,dong min park,박동민,Dong-Min Park
Dong-sik Chu,https://www.baseball-reference.com/register/player.fcgi?id=chu---000don,dong sik chu,,
,,dong sik joo,주동식,Dong-Sik Joo
