year,team,url
1988,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=e9af2ce3
1988,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=88acac24
1988,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=c999d44f
1988,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=4375e72b
1988,Pacific Dolphins,https://www.baseball-reference.com/register/team.cgi?id=9eef5186
1988,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=db4040d5
1987,Binggre Eagles,https://www.baseball-reference.com/register/team.cgi?id=108580c4
1987,Chungbo Pintos,https://www.baseball-reference.com/register/team.cgi?id=0601d8a3
1987,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=1d8964ac
1987,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=27f9fac4
1987,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=40793853
1987,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=a37f8021
1987,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=ee85dc3b
1986,Binggre Eagles,https://www.baseball-reference.com/register/team.cgi?id=c4f59634
1986,Chungbo Pintos,https://www.baseball-reference.com/register/team.cgi?id=a4e9d538
1986,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=017634a2
1986,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=c05717cb
1986,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=b356252f
1986,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=ab209750
1986,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=8708dba5
1985,Chungbo Pintos,https://www.baseball-reference.com/register/team.cgi?id=a1c3635b
1985,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=20d64126
1985,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=359853ac
1985,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=a8126138
1985,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=635a1594
1985,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=fe6bf32c
1984,Haitai Tigers,https://www.baseball-reference.com/register/team.cgi?id=aac965c1
1984,Lotte Giants,https://www.baseball-reference.com/register/team.cgi?id=1c3ea69f
1984,MBC Blue Dragons,https://www.baseball-reference.com/register/team.cgi?id=011b2d9e
1984,OB Bears,https://www.baseball-reference.com/register/team.cgi?id=29a9b53e
1984,Sammi Superstars,https://www.baseball-reference.com/register/team.cgi?id=1cc233ab
1984,Samsung Lions,https://www.baseball-reference.com/register/team.cgi?id=f1e21ad5
