name_eng_x,date_of_birth,url_x,name_new,name_kor,name_eng_y,url_y
,2002-06-08,,han wool joo,주한울,Han-Wool Joo,https://statiz.sporki.com/player/?m=playerinfo&p_no=14802
,2004-05-18,,heon seong byeon,변헌성,Heon-Sung Byun,https://statiz.sporki.com/player/?m=playerinfo&p_no=15481
,1995-12-23,,heung jin oh,오흥진,Heung-Jin Oh,https://statiz.sporki.com/player/?m=playerinfo&p_no=13256
,2000-06-11,,ho hyeon lee,이호현,Ho-Hyun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=14185
,1997-07-23,,ho jun seok,석호준,Ho-Jun Seok,https://statiz.sporki.com/player/?m=playerinfo&p_no=14691
,2004-10-21,,ho jun shin,신호준,Ho-jun Shin,https://statiz.sporki.com/player/?m=playerinfo&p_no=16031
,1994-05-01,,ho min kim,김호민,Ho-Min Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=12899
,1999-05-11,,ho sik yoo,유호식,Ho-Sik Yu,https://statiz.sporki.com/player/?m=playerinfo&p_no=13127
,2000-11-07,,ho won sohn,손호원,Ho-Won Sohn,https://statiz.sporki.com/player/?m=playerinfo&p_no=15642
,2004-11-17,,ho yeol lee,이호열,Ho-Yeol Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=15480
,1992-03-09,,ho yeon kim,김호연,Ho-Yeon Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=12967
,1994-01-05,,ho yeong jeon,전호영,Ho-Young Jeon,https://statiz.sporki.com/player/?m=playerinfo&p_no=10857
,1995-07-13,,hoon ho kim,김훈호,Hoon-Ho Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=11391
,1996-10-19,,hoon lee,이훈,Hun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=11362
,1991-06-18,,hwa rang park,박화랑,Hwa-Rang Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=10875
,1993-05-07,,hwa yeong kang,강화영,Hwa-Yeong Kang,https://statiz.sporki.com/player/?m=playerinfo&p_no=10886
,1991-05-15,,hwang koo,구황,Hwang Gu,https://statiz.sporki.com/player/?m=playerinfo&p_no=13262
,1991-02-26,,hwi bong yoo,유휘봉,Hwi-Bong Yoo,https://statiz.sporki.com/player/?m=playerinfo&p_no=10033
,2005-08-27,,hwi keon kim,김휘건,Hwi-geon Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=16052
,1992-06-01,,hwi seong park,박휘성,Hwi-Sung Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=10827
,1997-02-17,,hye seong cha,차혜성,Hye-Sung Cha,https://statiz.sporki.com/player/?m=playerinfo&p_no=14641
,2003-06-09,,hye seong ha,하혜성,Hye-Seong Ha,https://statiz.sporki.com/player/?m=playerinfo&p_no=15050
,1998-08-02,,hyeok chan kwon,권혁찬,Hyeok-Chan Kwon,https://statiz.sporki.com/player/?m=playerinfo&p_no=14860
,1994-07-18,,hyeok jin jeong,정혁진,Hyeok-Jin Jung,https://statiz.sporki.com/player/?m=playerinfo&p_no=11093
,1992-07-01,,hyeok park,박혁,Hyuk Park,https://statiz.sporki.com/player/?m=playerinfo&p_no=13187
,1991-05-08,,hyeon cheol ryu,류현철,Hyeon-Cheol Ryu,https://statiz.sporki.com/player/?m=playerinfo&p_no=11258
,1998-02-25,,hyeon deok cho,조현덕,Hyun-Duk Cho,https://statiz.sporki.com/player/?m=playerinfo&p_no=12888
,2004-11-10,,hyeon gon ryu,류현곤,Hyun-Gon Ryu,https://statiz.sporki.com/player/?m=playerinfo&p_no=15468
,1999-04-20,,hyeon ho bae,배현호,Hyun-Ho Bae,https://statiz.sporki.com/player/?m=playerinfo&p_no=13095
,1999-07-05,,hyeon jae cheon,천현재,Hyeon-Jae Cheon,https://statiz.sporki.com/player/?m=playerinfo&p_no=15128
,1999-04-29,,hyeon je song,송현제,Hyeon-Je Song,https://statiz.sporki.com/player/?m=playerinfo&p_no=15098
,2002-01-03,,hyeon jin yang,양현진,Hyun-Jin Yang,https://statiz.sporki.com/player/?m=playerinfo&p_no=14840
,1999-06-10,,hyeon jong baek,백현종,Hyun-jong Baek,https://statiz.sporki.com/player/?m=playerinfo&p_no=14673
,2000-05-22,,hyeon jong kim,김현종,Hyun-Jong Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14638
,1999-04-05,,hyeon jun choi,최현준,Hyun-Jun Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=13105
,1999-09-22,,hyeon jun choi,최현준,Hyun-Jun Choi,https://statiz.sporki.com/player/?m=playerinfo&p_no=15142
,1991-05-12,,hyeon jun lee,이현준,Hyun-Jun Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=10297
,2001-04-20,,hyeon jun lee,이현준,HYEON-JUN LEE,https://statiz.sporki.com/player/?m=playerinfo&p_no=15870
,1999-01-15,,hyeon kim,김현,Hyun Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=13150
,2005-02-23,,hyeon kwon,권현,Hyeon Kwon,https://statiz.sporki.com/player/?m=playerinfo&p_no=16115
,2005-03-23,,hyeon min cho,조현민,Hyun-min Cho,https://statiz.sporki.com/player/?m=playerinfo&p_no=16060
,1999-09-14,,hyeon min jeong,정현민,Hyun-Min Jung,https://statiz.sporki.com/player/?m=playerinfo&p_no=14216
,1992-04-12,,hyeon min kim,김현민,Hyun-Min Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=10897
,1990-07-11,,hyeon min lee,이현민,Hyun-Min Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=10900
,2001-10-13,,hyeon min lee,이현민,Hyeon-Min Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=16159
,1987-05-21,,hyeon min oh,오현민,Hyun-Min Oh,https://statiz.sporki.com/player/?m=playerinfo&p_no=11315
,2004-10-16,,hyeon seo ahn,안현서,Hyun-Seo Ahn,https://statiz.sporki.com/player/?m=playerinfo&p_no=15464
,1997-03-31,,hyeon seok ahn,안현석,hyun-Seok Ahn,https://statiz.sporki.com/player/?m=playerinfo&p_no=12627
,2001-03-05,,hyeon seok oh,오현석,Hyun-Seok Oh,https://statiz.sporki.com/player/?m=playerinfo&p_no=14801
,2000-06-13,,hyeon soo baek,백현수,Hyun-Soo Baek,https://statiz.sporki.com/player/?m=playerinfo&p_no=15616
,1996-03-21,,hyeon soo cho,조현수,Hyun-Soo Cho,https://statiz.sporki.com/player/?m=playerinfo&p_no=14202
,1999-06-10,,hyeon soo shin,신현수,Hyun-Soo Shin,https://statiz.sporki.com/player/?m=playerinfo&p_no=13077
,2003-06-16,,hyeon soo shin,신현수,Hyun-Soo Shin,https://statiz.sporki.com/player/?m=playerinfo&p_no=15021
,2004-02-28,,hyeon won seo,서현원,Hyun-Won Seo,https://statiz.sporki.com/player/?m=playerinfo&p_no=15498
,1993-05-14,,hyeon woo jang,장현우,Hyun-Woo Jang,https://statiz.sporki.com/player/?m=playerinfo&p_no=12578
,1989-08-22,,hyeon woo kim,김현우,Hyun-Woo Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=10838
,2000-04-07,,hyeon woo kim,김현우,Hyun-woo Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14166
,2001-07-02,,hyeon woo kim,김현우,Hyun-Woo Kim,https://statiz.sporki.com/player/?m=playerinfo&p_no=14856
,2003-05-05,,hyeon woo lee,이현우,Hyun-Woo Lee,https://statiz.sporki.com/player/?m=playerinfo&p_no=15117
